composer,title,midi_path,metadata,metadata_composer,metadata_title,bootleg_score_path
"Alba, Antonio",Pitios,"../GiantMIDI/midis/Alba, Antonio, Pitios, PlRD1p-349c.mid",False,,,
"Alba, Antonio",Sensitiva,"../GiantMIDI/midis/Alba, Antonio, Sensitiva, KZkSx7oTHk4.mid",False,,,
"Alba, Antonio",Siempre Tuyo,"../GiantMIDI/midis/Alba, Antonio, Siempre Tuyo, Xbl00Tz5KhQ.mid",False,,,
"Alba, Antonio","Suspiros del Alma, Op.90","../GiantMIDI/midis/Alba, Antonio, Suspiros del Alma, Op.90, 3TmpXMeJeGM.mid",False,,,
"Alba, Antonio","Vals Español, Op.35","../GiantMIDI/midis/Alba, Antonio, Vals Español, Op.35, 2asGUnOwR2k.mid",False,,,
"Albert, Charles d'",Iolanthe Quadrille,"../GiantMIDI/midis/Albert, Charles d', Iolanthe Quadrille, l_ybTnCl9XI.mid",True,"Albert, Charles d'",Iolanthe Quadrille,"imslp_bootleg_dir-v1.1/Albert,_Charles_d'/Iolanthe_Quadrille_"
"Albert, Charles d'",Palermo quadrille,"../GiantMIDI/midis/Albert, Charles d', Palermo quadrille, l_ybTnCl9XI.mid",True,"Albert, Charles d'",Palermo quadrille,"imslp_bootleg_dir-v1.1/Albert,_Charles_d'/Palermo_quadrille_"
"Albert, Charles d'",Patience Lancers,"../GiantMIDI/midis/Albert, Charles d', Patience Lancers, 3SEufPIC-rY.mid",True,"Albert, Charles d'",Patience Lancers,"imslp_bootleg_dir-v1.1/Albert,_Charles_d'/Patience_Lancers_"
"Albert, Charles d'",Patience Quadrille,"../GiantMIDI/midis/Albert, Charles d', Patience Quadrille, l_ybTnCl9XI.mid",True,"Albert, Charles d'",Patience Quadrille,"imslp_bootleg_dir-v1.1/Albert,_Charles_d'/Patience_Quadrille_"
"Albert, Charles d'",Patience Waltz,"../GiantMIDI/midis/Albert, Charles d', Patience Waltz, 3SEufPIC-rY.mid",True,"Albert, Charles d'",Patience Waltz,"imslp_bootleg_dir-v1.1/Albert,_Charles_d'/Patience_Waltz_"
"Albert, Charles d'",The Pirates of Penzance Galop,"../GiantMIDI/midis/Albert, Charles d', The Pirates of Penzance Galop, aYe0hOqiPDo.mid",True,"Albert, Charles d'",The Pirates of Penzance Galop,"imslp_bootleg_dir-v1.1/Albert,_Charles_d'/The_Pirates_of_Penzance_Galop_"
"Albert, Charles d'",The Pirates of Penzance Polka,"../GiantMIDI/midis/Albert, Charles d', The Pirates of Penzance Polka, aYe0hOqiPDo.mid",True,"Albert, Charles d'",The Pirates of Penzance Polka,"imslp_bootleg_dir-v1.1/Albert,_Charles_d'/The_Pirates_of_Penzance_Polka_"
"Albert, Charles d'",The Pirates of Penzance Waltz,"../GiantMIDI/midis/Albert, Charles d', The Pirates of Penzance Waltz, aYe0hOqiPDo.mid",True,"Albert, Charles d'",The Pirates of Penzance Waltz,"imslp_bootleg_dir-v1.1/Albert,_Charles_d'/The_Pirates_of_Penzance_Waltz_"
"Albert, Charles d'",Sweethearts Waltz,"../GiantMIDI/midis/Albert, Charles d', Sweethearts Waltz, H0aFOjy2_1M.mid",True,"Albert, Charles d'",,"imslp_bootleg_dir-v1.1/Albert,_Charles_d'/_"
"Albert, Eugen d'","Piano Sonata, Op.10","../GiantMIDI/midis/Albert, Eugen d', Piano Sonata, Op.10, 67iZqAah6pc.mid",True,"Albert, Eugen d'",Piano Sonata,"imslp_bootleg_dir-v1.1/Albert,_Eugen_d'/Piano_Sonata_"
"Albery, Dorothy",Prelude in D-flat major,"../GiantMIDI/midis/Albery, Dorothy, Prelude in D-flat major, 92WqaR55U0o.mid",True,"Albery, Dorothy",Prelude,"imslp_bootleg_dir-v1.1/Albery,_Dorothy/Prelude_"
"Albrecht, Ludwig",Elegy in A-flat major,"../GiantMIDI/midis/Albrecht, Ludwig, Elegy in A-flat major, Vc7fN8yzLrs.mid",False,,,
"Alburger, Mark","Nocturnes for Insomniacs, Op.10","../GiantMIDI/midis/Alburger, Mark, Nocturnes for Insomniacs, Op.10, q1zzfqcpCcA.mid",False,,,
"Alburger, Mark","The Twelve Fingers, Op.8","../GiantMIDI/midis/Alburger, Mark, The Twelve Fingers, Op.8, ZUmCV1zUuBw.mid",True,"Alburger, Mark",The Twelve Fingers,"imslp_bootleg_dir-v1.1/Alburger,_Mark/The_Twelve_Fingers_"
"Alburger, Mark","Variations and Theme, Op.6","../GiantMIDI/midis/Alburger, Mark, Variations and Theme, Op.6, _dxxgrM4JbI.mid",True,"Alburger, Mark",Variations and Theme,"imslp_bootleg_dir-v1.1/Alburger,_Mark/Variations_and_Theme_"
"Albéniz, Isaac","L'Automne-Valse, Op.170","../GiantMIDI/midis/Albéniz, Isaac, L'Automne-Valse, Op.170, JVqghVLLWM8.mid",True,"Albéniz, Isaac","L'Automne-Valse, Op.170","imslp_bootleg_dir-v1.1/Albéniz,_Isaac/L'Automne-Valse,_Op.170_"
"Albéniz, Isaac",Azulejos,"../GiantMIDI/midis/Albéniz, Isaac, Azulejos, UymneP83Esw.mid",True,"Albéniz, Isaac",Azulejos,"imslp_bootleg_dir-v1.1/Albéniz,_Isaac/Azulejos_"
"Albéniz, Isaac","Barcarola, Op.23","../GiantMIDI/midis/Albéniz, Isaac, Barcarola, Op.23, dJ3qmtEcQoA.mid",True,"Albéniz, Isaac",Barcarola,"imslp_bootleg_dir-v1.1/Albéniz,_Isaac/Barcarola_"
"Albéniz, Isaac",Champagne-Valse,"../GiantMIDI/midis/Albéniz, Isaac, Champagne-Valse, D2rQLRJZmJs.mid",True,"Albéniz, Isaac",Champagne-Valse,"imslp_bootleg_dir-v1.1/Albéniz,_Isaac/Champagne-Valse_"
"Albéniz, Isaac","2 Danzas espagñoles, Op.164","../GiantMIDI/midis/Albéniz, Isaac, 2 Danzas espagñoles, Op.164, AtO2VUKC_ic.mid",False,,,
"Albéniz, Isaac","Deseo, Op.40","../GiantMIDI/midis/Albéniz, Isaac, Deseo, Op.40, rm89OwMiZJ0.mid",True,"Albéniz, Isaac",Deseo,"imslp_bootleg_dir-v1.1/Albéniz,_Isaac/Deseo_"
"Albéniz, Isaac",Espagne (Souvenirs),"../GiantMIDI/midis/Albéniz, Isaac, Espagne (Souvenirs), 4khiM5fU438.mid",True,"Albéniz, Isaac",Espagne (Souvenirs),"imslp_bootleg_dir-v1.1/Albéniz,_Isaac/Espagne_(Souvenirs)_"
"Albéniz, Isaac","España, Op.165","../GiantMIDI/midis/Albéniz, Isaac, España, Op.165, uSD5lYcyxhY.mid",True,"Albéniz, Isaac",España,"imslp_bootleg_dir-v1.1/Albéniz,_Isaac/España_"
"Albéniz, Isaac","Estudio impromptu, Op.56","../GiantMIDI/midis/Albéniz, Isaac, Estudio impromptu, Op.56, G47zqyXr7fE.mid",True,"Albéniz, Isaac","Estudio impromptu, Op.56","imslp_bootleg_dir-v1.1/Albéniz,_Isaac/Estudio_impromptu,_Op.56_"
"Albéniz, Isaac","7 Estudios en los tonos naturales mayores, Op.65","../GiantMIDI/midis/Albéniz, Isaac, 7 Estudios en los tonos naturales mayores, Op.65, CA1oOAtFqfQ.mid",True,"Albéniz, Isaac","7 Estudios en los tonos naturales mayores, Op.65","imslp_bootleg_dir-v1.1/Albéniz,_Isaac/7_Estudios_en_los_tonos_naturales_mayores,_Op.65_"
"Albéniz, Isaac",Iberia,"../GiantMIDI/midis/Albéniz, Isaac, Iberia, ShXNe4kc6M8.mid",True,"Albéniz, Isaac",Iberia,"imslp_bootleg_dir-v1.1/Albéniz,_Isaac/Iberia_"
"Albéniz, Isaac","Mallorca, Op.202","../GiantMIDI/midis/Albéniz, Isaac, Mallorca, Op.202, G7T6x5-7ze0.mid",True,"Albéniz, Isaac",Mallorca,"imslp_bootleg_dir-v1.1/Albéniz,_Isaac/Mallorca_"
"Albéniz, Isaac",Navarra,"../GiantMIDI/midis/Albéniz, Isaac, Navarra, uw7D68i4vXE.mid",True,"Albéniz, Isaac",Navarra,"imslp_bootleg_dir-v1.1/Albéniz,_Isaac/Navarra_"
"Albéniz, Isaac","Pavana-Capricho, Op.12","../GiantMIDI/midis/Albéniz, Isaac, Pavana-Capricho, Op.12, P8hm3jouhYk.mid",True,"Albéniz, Isaac",Pavana-Capricho,"imslp_bootleg_dir-v1.1/Albéniz,_Isaac/Pavana-Capricho_"
